,precision,recall,f1-score,support
1,0.3742504409171076,0.6084878608296693,0.4634536983110076,5231.0
2,0.20557491289198607,0.016448285475327572,0.030459473412493547,3587.0
3,0.20605187319884727,0.041812865497076024,0.06951871657754011,3420.0
4,0.36496919597598065,0.7158152340165188,0.483446102990548,6538.0
5,0.25310467179183915,0.12449098312972659,0.1668941314096315,3438.0
6,0.0,0.0,0.0,410.0
7,0.0,0.0,0.0,1376.0
accuracy,0.353875,0.353875,0.353875,0.353875
macro avg,0.20056444211082297,0.21529360413547402,0.1733960175287458,24000.0
weighted avg,0.27733921417634605,0.353875,0.27107879511788324,24000.0
