edad,antiguedad_meses,gasto_mensual,soporte_llamadas,tipo_contrato,region,churn
49,3,115736,5,mensual,centro,1
54,60,16037,5,mensual,norte,1
54,22,69203,4,bienal,norte,0
22,60,71883,5,anual,sur,0
56,46,85955,3,bienal,centro,0
55,57,82434,5,anual,sur,1
36,42,70774,1,mensual,centro,0
28,48,41636,1,mensual,centro,0
26,19,60812,5,mensual,centro,1
72,59,119299,6,anual,centro,0
38,55,12804,2,bienal,centro,0
56,17,11042,7,anual,centro,1
32,28,72183,5,mensual,norte,1
23,51,71508,1,mensual,centro,1
50,24,107630,6,mensual,sur,1
22,47,108088,2,bienal,centro,0
48,18,34281,6,mensual,centro,0
24,22,93105,2,anual,centro,0
23,15,33403,6,anual,centro,1
49,59,115426,1,anual,sur,0
61,39,48404,6,mensual,norte,1
64,49,15451,4,anual,centro,0
42,6,56344,8,mensual,norte,1
47,34,84244,3,mensual,sur,0
70,13,34916,4,mensual,sur,1
52,31,112749,0,mensual,centro,0
71,2,59124,6,bienal,norte,0
66,43,107890,0,anual,norte,0
52,60,65007,8,mensual,centro,1
54,52,20826,2,mensual,sur,1
32,22,53152,6,mensual,centro,1
60,18,81477,6,mensual,sur,0
30,5,22721,2,bienal,norte,0
38,13,48030,0,mensual,centro,0
60,25,44600,7,mensual,norte,0
69,8,40525,7,bienal,norte,1
31,24,118439,4,mensual,centro,0
25,48,108579,6,anual,centro,0
27,48,84014,6,bienal,norte,0
52,27,33712,0,anual,centro,0
28,2,38874,3,anual,norte,0
51,23,33419,2,mensual,sur,1
54,60,42453,8,anual,norte,0
38,13,27888,8,anual,sur,1
20,42,8172,1,anual,norte,1
58,8,64515,1,anual,norte,0
23,21,52468,1,bienal,sur,0
44,59,108545,1,bienal,centro,0
73,15,38761,8,bienal,norte,0
45,6,86075,0,anual,sur,0
61,32,78418,3,mensual,norte,0
22,38,109704,8,anual,norte,1
21,23,11635,2,mensual,sur,0
49,25,40509,1,bienal,norte,0
47,11,8787,1,bienal,sur,0
24,33,95544,8,mensual,centro,1
21,33,68607,1,bienal,norte,0
62,60,119843,7,mensual,norte,0
75,49,113153,4,anual,sur,0
66,21,82248,6,mensual,norte,1
39,7,56935,4,mensual,centro,0
57,44,42486,6,mensual,norte,0
56,31,18942,2,mensual,norte,1
29,32,109915,7,bienal,sur,0
52,49,12685,6,anual,sur,0
31,40,88053,0,anual,norte,0
45,28,112027,1,bienal,centro,1
73,36,52648,4,anual,norte,0
41,50,110768,4,bienal,sur,0
74,8,101421,4,mensual,centro,1
64,55,105711,6,anual,centro,1
58,5,37506,2,bienal,sur,0
64,30,112886,2,mensual,sur,0
42,50,118561,5,anual,sur,1
24,23,18479,8,bienal,sur,1
35,11,95016,5,anual,centro,1
44,42,83398,1,mensual,norte,0
28,34,98723,4,anual,sur,0
59,14,69854,4,anual,norte,0
53,14,15785,0,mensual,sur,0
71,32,31110,0,mensual,norte,1
38,11,97640,2,mensual,sur,0
73,51,60615,4,mensual,centro,0
57,16,40479,5,mensual,sur,0
22,39,103306,2,anual,norte,0
37,1,104357,1,anual,sur,1
52,25,110662,3,mensual,sur,1
46,14,27954,0,mensual,centro,0
74,35,13311,5,anual,sur,0
47,37,73275,2,anual,sur,0
19,10,15569,0,mensual,norte,0
53,8,94377,8,bienal,sur,1
69,20,79973,7,bienal,sur,1
50,54,47696,6,anual,norte,0
47,23,115700,6,mensual,norte,0
60,16,105213,3,anual,norte,0
39,56,102389,7,mensual,centro,1
36,45,82636,7,anual,centro,1
20,56,69902,8,bienal,centro,0
44,52,101738,7,mensual,norte,0
33,14,67838,4,bienal,sur,0
35,51,29802,2,bienal,norte,1
66,15,94374,8,mensual,centro,0
74,13,49547,2,bienal,centro,1
45,26,94700,7,bienal,centro,0
74,55,93315,0,bienal,norte,0
72,10,100411,3,anual,norte,0
68,10,105929,2,anual,centro,0
69,26,29070,5,anual,sur,0
20,56,50160,0,anual,sur,0
29,50,25019,3,anual,norte,0
67,17,119319,5,anual,sur,0
55,42,22047,8,bienal,sur,1
36,1,103209,2,mensual,norte,1
48,33,88677,8,mensual,sur,0
24,3,15807,5,bienal,norte,1
47,52,55557,0,mensual,norte,0
60,34,109626,3,mensual,centro,1
21,47,48802,1,mensual,norte,0
75,1,82008,7,mensual,norte,1
33,55,63313,1,mensual,norte,1
30,15,86379,2,anual,sur,1
30,2,95067,0,bienal,sur,0
64,16,71552,1,mensual,centro,0
43,38,54943,3,bienal,norte,0
27,25,43828,4,mensual,centro,0
62,10,44679,2,bienal,sur,0
57,48,68309,6,anual,sur,0
35,35,24216,4,mensual,norte,0
21,8,30033,5,bienal,sur,0
37,3,114465,7,bienal,centro,1
31,15,69889,0,mensual,norte,0
21,32,23209,5,bienal,centro,0
73,53,104212,4,bienal,centro,0
75,58,68779,2,anual,norte,0
49,25,9089,5,anual,centro,1
69,5,102253,1,anual,sur,1
72,53,96045,6,anual,norte,0
65,37,18203,8,anual,centro,1
23,13,65741,4,bienal,norte,0
44,9,24001,7,anual,centro,0
57,38,34386,5,mensual,norte,0
36,48,65607,3,mensual,norte,1
53,17,9519,0,bienal,centro,0
45,44,99198,7,mensual,centro,0
37,32,66573,7,bienal,norte,0
69,13,57022,5,bienal,norte,0
41,18,103317,6,anual,centro,1
65,43,76372,0,mensual,sur,0
19,12,34200,3,bienal,sur,0
64,60,36735,0,mensual,norte,1
18,6,51275,2,mensual,centro,1
52,48,97057,7,anual,norte,0
50,17,61700,8,anual,sur,1
47,50,109936,8,bienal,centro,1
61,53,83727,3,anual,norte,1
75,29,24893,5,anual,norte,0
46,36,99388,8,mensual,sur,1
38,48,43972,5,anual,centro,0
39,2,97264,1,bienal,sur,0
43,34,34391,4,bienal,centro,0
42,29,39592,4,anual,sur,0
28,39,83591,6,anual,sur,0
50,16,100941,8,bienal,norte,1
64,52,48227,3,anual,norte,0
45,50,42983,3,mensual,norte,1
19,10,37536,6,mensual,centro,1
35,19,34944,2,bienal,centro,0
32,52,93261,8,anual,centro,1
58,3,79212,5,anual,centro,1
68,6,105024,3,anual,centro,1
71,3,111571,6,bienal,sur,1
18,8,43444,0,anual,norte,0
48,40,93062,0,anual,sur,0
46,57,57239,7,mensual,sur,0
26,11,21005,7,bienal,centro,1
24,24,39988,0,mensual,centro,1
45,55,109496,2,anual,sur,0
34,28,118214,4,mensual,sur,0
60,44,12431,4,mensual,norte,0
32,26,76244,1,mensual,norte,0
74,20,44316,1,anual,centro,0
52,50,101240,6,anual,centro,1
48,35,18312,2,bienal,sur,0
51,60,76890,5,anual,sur,1
50,18,119717,2,mensual,norte,0
32,58,71694,8,bienal,sur,1
69,37,10613,7,mensual,sur,1
34,13,62877,8,bienal,sur,1
35,54,16394,2,bienal,sur,0
18,19,46039,0,anual,norte,0
75,45,91040,2,anual,sur,0
68,14,54140,2,anual,sur,0
43,35,47861,5,bienal,norte,1
24,15,28919,0,mensual,sur,0
69,7,68050,0,bienal,norte,1
39,46,37124,6,bienal,norte,1
21,38,19843,0,anual,norte,0
45,57,43001,7,mensual,sur,1
38,28,85737,8,mensual,centro,1
30,28,113923,4,anual,sur,0
44,40,53929,4,anual,norte,0
70,23,86443,7,anual,norte,0
20,4,26189,5,mensual,norte,1
53,6,67921,6,anual,norte,0
71,17,55917,0,bienal,sur,0
37,46,49475,8,bienal,centro,0
56,36,27142,6,bienal,centro,0
29,21,76364,4,anual,sur,0
68,13,18485,0,mensual,norte,0
42,3,77035,5,anual,norte,0
31,4,30661,6,bienal,sur,1
64,50,101238,4,mensual,sur,0
44,18,13785,8,bienal,sur,0
33,50,82947,6,bienal,centro,0
61,8,72565,2,bienal,centro,0
55,6,69787,1,mensual,centro,0
38,47,85543,4,anual,centro,0
56,23,61077,6,bienal,centro,0
59,8,10375,0,bienal,sur,1
70,46,119700,3,bienal,norte,0
65,34,115077,8,mensual,centro,1
24,44,105257,5,anual,norte,1
23,19,59029,4,bienal,norte,0
43,53,40181,4,anual,norte,0
62,30,14699,7,mensual,centro,1
72,55,93404,4,anual,norte,0
37,2,104508,3,bienal,sur,1
40,40,31437,6,anual,centro,0
62,50,47621,2,mensual,sur,0
44,45,84170,7,anual,norte,0
20,9,100777,8,mensual,norte,0
36,33,12666,0,mensual,norte,0
62,18,78659,0,bienal,centro,0
31,37,52884,1,mensual,norte,0
51,12,105131,4,anual,sur,0
27,53,99214,5,bienal,sur,1
58,49,37351,4,mensual,centro,1
67,2,72335,0,mensual,sur,1
67,48,117337,4,bienal,centro,0
50,46,40120,0,anual,norte,0
32,18,109567,4,mensual,norte,0
28,41,68165,2,anual,norte,0
73,40,66381,3,mensual,centro,0
71,40,56141,4,anual,centro,0
44,48,8032,5,bienal,centro,0
47,22,22257,5,mensual,norte,0
35,5,32388,7,mensual,centro,1
56,42,55609,1,anual,sur,0
57,39,79519,7,bienal,sur,0
46,20,116780,8,mensual,sur,1
75,3,86903,4,bienal,centro,1
45,13,85849,7,anual,norte,0
48,46,50972,7,mensual,centro,1
35,42,118578,0,mensual,centro,0
75,33,105164,7,anual,sur,1
23,42,116036,8,bienal,sur,1
53,1,9796,1,bienal,norte,0
59,52,113711,5,mensual,centro,1
39,42,118466,8,anual,norte,0
72,31,82603,4,bienal,norte,0
54,29,50246,4,anual,sur,0
22,23,35241,7,mensual,centro,0
51,56,42559,6,mensual,centro,0
32,21,43353,2,anual,norte,0
49,55,28322,7,bienal,sur,0
38,59,25878,7,bienal,centro,0
65,6,117582,4,mensual,sur,0
55,48,58673,3,bienal,norte,0
66,26,75566,5,anual,norte,0
65,6,52739,7,mensual,sur,0
70,53,92672,1,bienal,norte,0
20,31,109254,1,mensual,norte,0
72,40,19956,0,bienal,sur,0
39,11,102026,7,mensual,centro,0
68,39,47567,8,mensual,norte,1
61,47,55230,7,bienal,norte,0
